Date,Open,High,Low,Close,Adj Close,Volume
2016-11-21,345.6700134277344,346.55999755859375,339.80999755859375,342.510009765625,334.1590881347656,52300
2016-11-22,342.1300048828125,343.510009765625,339.05999755859375,340.1199951171875,331.82745361328125,35700
2016-11-23,340.0,343.7799987792969,340.0,342.5899963378906,334.2371520996094,34400
2016-11-25,344.4800109863281,345.8500061035156,342.8999938964844,345.0,336.5884094238281,11100
2016-11-28,346.4700012207031,347.8500061035156,339.94000244140625,341.80999755859375,333.4761962890625,50000
2016-11-29,341.8999938964844,343.94000244140625,341.0199890136719,341.8699951171875,333.5346984863281,40600
2016-11-30,343.0,344.05999755859375,339.1499938964844,341.4599914550781,333.13470458984375,67600
2016-12-01,341.67999267578125,348.75,341.67999267578125,348.44000244140625,339.944580078125,49900
2016-12-02,349.0,351.2799987792969,347.69000244140625,348.6400146484375,340.13970947265625,63900
2016-12-05,349.1000061035156,351.989990234375,349.010009765625,350.9700012207031,342.41290283203125,38200
2016-12-06,351.9599914550781,355.4700012207031,348.54998779296875,354.04998779296875,345.4178161621094,31500
2016-12-07,354.9100036621094,368.8500061035156,354.9100036621094,368.82000732421875,359.8277282714844,65100
2016-12-08,369.70001220703125,375.260009765625,366.2099914550781,373.4800109863281,364.3740234375,54900
2016-12-09,372.5,374.3299865722656,370.69000244140625,372.05999755859375,362.9886779785156,50800
2016-12-12,371.010009765625,371.010009765625,365.0299987792969,368.2200012207031,359.24224853515625,35900
2016-12-13,367.6000061035156,371.739990234375,365.1000061035156,370.0,360.9788818359375,41100
2016-12-14,369.67999267578125,370.0199890136719,365.45001220703125,366.6199951171875,357.6812744140625,44000
2016-12-15,368.6000061035156,369.6300048828125,366.9200134277344,368.95001220703125,359.9544982910156,37300
2016-12-16,367.739990234375,371.8299865722656,367.739990234375,369.989990234375,360.9691467285156,47800
2016-12-19,370.3500061035156,374.3900146484375,369.8299865722656,372.9800109863281,363.88623046875,30900
2016-12-20,374.79998779296875,374.94000244140625,372.3699951171875,372.75,363.6618957519531,27200
2016-12-21,373.55999755859375,374.3900146484375,371.0799865722656,371.760009765625,362.6959533691406,19500
2016-12-22,370.7699890136719,370.7699890136719,367.17999267578125,367.8999938964844,358.9300537109375,30700
2016-12-23,367.0400085449219,372.9800109863281,365.3399963378906,371.1600036621094,362.110595703125,21600
2016-12-27,370.1000061035156,371.2799987792969,369.3599853515625,369.9800109863281,360.95941162109375,18100
2016-12-28,368.95001220703125,372.0,366.510009765625,369.1700134277344,360.16912841796875,39800
2016-12-29,369.17999267578125,370.8800048828125,367.0799865722656,370.3599853515625,361.330078125,33800
2016-12-30,372.29998779296875,372.29998779296875,365.6400146484375,369.5899963378906,360.5788879394531,32200
2017-01-03,369.5400085449219,369.5400085449219,366.0,368.2799987792969,359.30084228515625,72500
2017-01-04,368.010009765625,372.1400146484375,367.1099853515625,371.2099914550781,362.1593322753906,29900
2017-01-05,370.989990234375,372.29998779296875,367.6000061035156,371.0899963378906,362.04229736328125,62200
2017-01-06,370.8900146484375,372.0,369.54998779296875,370.1199951171875,361.09600830078125,30800
2017-01-09,370.5400085449219,370.5899963378906,367.19000244140625,368.2300109863281,359.2521057128906,37800
2017-01-10,368.0,369.9599914550781,368.0,369.0799865722656,360.08135986328125,37500
2017-01-11,368.4200134277344,369.79998779296875,367.95001220703125,368.5400085449219,359.5545349121094,50200
2017-01-12,367.7099914550781,369.95001220703125,364.0899963378906,367.55999755859375,358.5984191894531,38200
2017-01-13,366.0,369.1499938964844,365.92999267578125,369.0899963378906,360.0910949707031,44300
2017-01-17,367.80999755859375,367.80999755859375,364.5,367.55999755859375,358.5984191894531,25700
2017-01-18,369.5,369.5,365.9700012207031,368.45001220703125,359.4666442871094,28100
2017-01-19,369.1300048828125,369.5,366.67999267578125,367.95001220703125,358.97894287109375,22200
2017-01-20,368.8500061035156,369.739990234375,366.9100036621094,368.5400085449219,359.5545349121094,26900
2017-01-23,368.54998779296875,374.8900146484375,368.54998779296875,372.9599914550781,363.86676025390625,65900
2017-01-24,371.92999267578125,380.20001220703125,371.32000732421875,378.4599914550781,369.2325744628906,40200
2017-01-25,379.489990234375,382.010009765625,379.489990234375,380.6000061035156,371.3204345703125,81000
2017-01-26,380.1600036621094,380.1600036621094,373.0,378.3900146484375,369.1643371582031,28500
2017-01-27,378.2300109863281,381.1300048828125,375.5199890136719,380.6499938964844,371.3692321777344,34000
2017-01-30,379.1700134277344,382.8900146484375,376.92999267578125,380.79998779296875,371.5155334472656,60700
2017-01-31,377.5899963378906,380.5299987792969,376.05999755859375,376.6700134277344,367.4862976074219,36600
2017-02-01,379.0299987792969,380.55999755859375,373.25,374.9700012207031,365.82769775390625,48500
2017-02-02,372.75,376.0,370.3500061035156,370.42999267578125,361.3984069824219,45900
2017-02-03,371.5199890136719,375.95001220703125,369.0,375.44000244140625,366.2862548828125,83000
2017-02-06,375.0,376.8399963378906,373.0,374.0,364.88134765625,35000
2017-02-07,374.1099853515625,374.5,370.04998779296875,371.0,361.95452880859375,36100
2017-02-08,371.5899963378906,372.1499938964844,369.0,370.6099853515625,361.5740661621094,78900
2017-02-09,360.0,374.07000732421875,355.5,370.489990234375,361.45697021484375,146500
2017-02-10,372.4599914550781,375.29998779296875,370.8399963378906,373.69000244140625,364.57891845703125,53800
2017-02-13,374.3599853515625,379.30999755859375,374.3599853515625,378.0,368.78387451171875,50900
2017-02-14,379.5899963378906,381.7200012207031,376.7900085449219,377.4599914550781,368.2569580078125,73900
2017-02-15,377.55999755859375,385.3500061035156,377.1700134277344,383.5899963378906,374.2375793457031,67600
2017-02-16,383.489990234375,386.5400085449219,377.5299987792969,383.8699951171875,374.5107421875,58800
2017-02-17,383.260009765625,383.5799865722656,378.1000061035156,381.2099914550781,371.91558837890625,37300
2017-02-21,380.2799987792969,381.260009765625,378.75,381.239990234375,372.923095703125,65900
2017-02-22,381.489990234375,383.6199951171875,379.3999938964844,383.20001220703125,374.84033203125,42100
2017-02-23,384.0,385.0400085449219,380.55999755859375,384.9200134277344,376.5227966308594,38200
2017-02-24,383.2099914550781,384.4700012207031,381.3999938964844,384.19000244140625,375.80877685546875,37600
2017-02-27,386.30999755859375,386.30999755859375,383.0899963378906,383.95001220703125,375.57403564453125,34500
2017-02-28,384.0,386.3299865722656,382.6400146484375,386.29998779296875,377.8727111816406,43900
2017-03-01,388.4599914550781,391.2200012207031,384.1499938964844,390.57000732421875,382.0495910644531,73800
2017-03-02,388.9700012207031,390.67999267578125,385.1499938964844,385.7799987792969,377.36407470703125,35200
2017-03-03,383.7699890136719,384.0299987792969,377.510009765625,382.20001220703125,373.86212158203125,44400
2017-03-06,379.9599914550781,381.1499938964844,376.6000061035156,378.32000732421875,370.0667419433594,51200
2017-03-07,377.739990234375,379.260009765625,376.25,377.20001220703125,368.97119140625,41900
2017-03-08,375.5,378.7099914550781,375.0,377.7300109863281,369.4897155761719,51100
2017-03-09,377.8500061035156,379.8800048828125,375.3699951171875,376.32000732421875,368.1104431152344,42300
2017-03-10,378.8999938964844,380.7300109863281,375.010009765625,375.4599914550781,367.2692565917969,60300
2017-03-13,376.8900146484375,378.8900146484375,374.1199951171875,374.4100036621094,366.2420959472656,37300
2017-03-14,372.69000244140625,372.69000244140625,368.9700012207031,369.57000732421875,361.50775146484375,23400
2017-03-15,370.7099914550781,372.2699890136719,368.25,370.6700134277344,362.583740234375,54000
2017-03-16,370.4200134277344,375.0400085449219,369.42999267578125,375.0400085449219,366.8583679199219,67200
2017-03-17,374.7900085449219,374.8999938964844,372.5,372.67999267578125,364.5497741699219,26800
2017-03-20,369.82000732421875,373.1000061035156,369.5400085449219,371.17999267578125,363.0824890136719,42100
